source,link,title,publish_date,summary,keywords,desc
https://www.financialexpress.com,https://www.financialexpress.com/market/indian-indices-nse-nifty-auto-companies-list/,"Nifty Auto (NSE) Index Price Live - Top Nifty Auto Companies Index Price in India Today, (NSE) India Index Price Live",None,,"['nifty', 'india', 'price', 'index', 'companies', 'nse', 'today', 'live', 'auto']",
https://www.financialexpress.com,https://www.financialexpress.com/market/indian-indices-nse-nifty-pharma-companies-list/,"Nifty Pharma (NSE) Index Price Live - Top Nifty Pharma Companies Index Price in India Today, (NSE) India Index Price Live",None,,"['nifty', 'india', 'price', 'index', 'pharma', 'companies', 'nse', 'today', 'live']",
https://www.financialexpress.com,https://www.financialexpress.com/market/indian-indices-nse-nifty-50-companies-list/,"Nifty 50 (NSE) Index Price Live - Top Nifty 50 Companies Index Price in India Today, (NSE) India Index Price Live",None,,"['nifty', 'india', 'price', 'index', 'companies', 'nse', 'today', 'live', '50']",
https://www.financialexpress.com,https://www.financialexpress.com/market/indian-indices-bse-sensex-companies-list/,"Sensex (BSE) Index Price Live - Top Sensex Companies Index Price in India Today, (BSE) India Index Price Live",None,,"['sensex', 'india', 'price', 'index', 'companies', 'bse', 'today', 'live']",
https://www.financialexpress.com,https://www.financialexpress.com/business/investing-abroad-will-the-us-bull-market-continue-until-2023-end-3178328/,"First six months belonged to bulls, will the party continue in the second half of 2023?",None,"The US stock market experienced a strong first half, with the Nasdaq Composite posting its best opening six months in four decades.
The S&P 500 also surged 15.9% in H1 2023, with technology stocks driving most of the rally, while the DJIA fell behind.
In the second half, if history is any indication, stocks may benefit from their good start.
The US stock market’s bullish momentum in the first half could continue into the second half, as was seen in 1929 when the S&P 500 index climbed an average of 4.3% in the second half after rising at least 14% in the first six months.
Pullbacks, and possibly a correction, are to be expected in the second half.","['bulls', 'belonged', 'negative', 'recession', 'half', 'party', 'stock', 'months', '500', 'continue', '2023', 'average', 'technology', 'second', 'market', 'sp']","Despite multiple challenges, including the upheaval in the banking sector and ongoing concerns about the state of the economy, the equity market has surged higher in the first half of this year. The US stock market experienced a strong first half, with the Nasdaq Composite posting its best opening six months in four decades. The rally, driven by mega-cap technology shares, was driven by the excitement around AI software and central bank interest-rate hikes. The S&P 500 also surged 15.9% in H1 2023, with technology stocks driving most of the rally, while the DJIA fell behind.

In the second half, if history is any indication, stocks may benefit from their good start. According to Sam Stovall, chief investment strategist at CFRA, the S&P 500 has increased by an average of 8% in the second half of the year since 1945, when it increased by at least 10% in the first half.

The US stock market’s bullish momentum in the first half could continue into the second half, as was seen in 1929 when the S&P 500 index climbed an average of 4.3% in the second half after rising at least 14% in the first six months. From October lows, the indices have rallied into the bull market, up by almost 20%. In October 2022, the market was trading at a 23% discount to a composite of Morningstar’s fundamental stock valuations, a level not seen since 2010.

Factors playing out in H2 are recession, interest rates, and the global economy. Although a recession is currently thought to be less likely to occur this year, economic worries still exist. A 71% risk of a recession in the coming 12 months was predicted by a New York Federal Reserve model of recession probability based on the Treasury yield curve earlier this month.

The second-largest economy in the world, China, announced second-quarter GDP growth of 6.3%, which was less than analysts had anticipated.

According to the International Monetary Fund, headline inflation appears to have peaked among the Group of 20 countries. Core inflation, however, continues to be significantly higher than the central banks’ goal levels in the majority of G20 nations, especially the advanced economies.

Bull markets do not follow a straight line. Pullbacks, and possibly a correction, are to be expected in the second half. Since 1950, the average maximum downside for the S&P 500 during a calendar year has been minus 13.8%, which is significantly lower than this year’s current maximum drawdown of negative 7.8%.

Furthermore, historically, positive first-half S&P 500 gains have resulted in shorter second-half drawdowns. For example, the average second-half maximum drawdown after a positive first half is negative 9%, as opposed to an average drawdown of negative 13.1% when the first half was negative, according to data compiled by LPL Financial.

The technology industry has reached “overvalued territory” in terms of valuation, and these megacap technology stocks “have already run their course.” Now is a good time to take a look at your portfolio and reallocate those assets that are overextended.

According to a theory put forth by Yale Hirsch of the Stock Trader’s Almanac, the stock market exhibits a pattern that corresponds with a four-year presidential term. While typically the third year of a presidential cycle has seen the best performance of all four, the future for equities now appears even more promising."
https://www.financialexpress.com,https://www.financialexpress.com/life/technology-oppo-reno-10-5g-india-price-revealed-to-be-available-starting-july-27-3179752/,Oppo Reno 10 5G India price revealed; to be available starting July 27,None,"Oppo Reno 10 5G India price has been revealed.
The Reno 10 was launched alongside the Reno 10 Pro and Reno 10 Pro Plus on July 10, but Oppo had kept its pricing and availability details under the wraps at the time.
The Reno 10 Pro is priced at Rs 39,999 (12GB/256GB) while the Reno 10 Pro Plus costs Rs 54,999 (12GB/256GB).
The interesting bit is that even though it is technically a more mass-market product, it shares many core hardware specs and styling with the Reno 10 Pro and Reno 10 Pro Plus.
The Oppo Reno 10 will be sold across the company’s online store, Flipkart, and mainline retail outlets.","['curved', 'india', '5g', 'price', 'pro', '32mp', 'zoom', 'reno', 'rs', 'oppo', 'plus', 'revealed', 'phone', '27', 'available', 'starting']","Oppo Reno 10 5G India price has been revealed. The Reno 10 with 8GB/256GB will set buyers back by Rs 32,999 and it will go on sale starting from July 27. The Reno 10 was launched alongside the Reno 10 Pro and Reno 10 Pro Plus on July 10, but Oppo had kept its pricing and availability details under the wraps at the time. The Reno 10 Pro is priced at Rs 39,999 (12GB/256GB) while the Reno 10 Pro Plus costs Rs 54,999 (12GB/256GB).

The Reno 10 is the most affordable phone under Oppo’s new Reno 10 series 5G. The interesting bit is that even though it is technically a more mass-market product, it shares many core hardware specs and styling with the Reno 10 Pro and Reno 10 Pro Plus. Say for instance, it has the same 6.7-inch curved OLED screen with 120Hz refresh rate and up to 240Hz touch sampling. You get an in-display fingerprint reader on it, too.

Under the hood, the Reno 10 has the MediaTek Dimensity 7050. The Reno 10 has the same secondary and tertiary as the Reno 10 Pro (32MP telephoto for up to 2x optical zoom, 8MP ultrawide) but swaps the primary 50MP with a 64MP main (without OIS). On the front, it has a 32MP selfie camera. The Reno 10 is powered by a 5,000mAh battery with 67W fast charging support.

Software-wise the Reno 10 runs ColorOS 13.1 based on Android 13. The phone is guaranteed to get 2 major OS and up to 3 years of security updates.

The Reno 10 boasts of a 3D curved design and comes in a choice of two finishes, Ice Blue and Silvery Gray, though it is made entirely out of plastic. It has dual speakers and an IR emitter to control smart home appliances like air conditioners and TVs.

The Oppo Reno 10 will be sold across the company’s online store, Flipkart, and mainline retail outlets.

Follow FE Tech Bytes on Twitter, Instagram, LinkedIn, Facebook"
https://www.financialexpress.com,https://www.financialexpress.com/business/railways-redevelopment-work-of-ayodhya-railway-station-is-going-on-in-full-swing-check-the-list-of-completed-works-3180027/,Redevelopment work of Ayodhya railway station is going on in full swing – Check the list of completed works,None,"The Ministry of Railways has shared an update related to the redevelopment work of Ayodhya railway station in Uttar Pradesh state of India.
Currently, it has three platforms and five railway tracks.
Under the Amrit Bharat Station Scheme, Indian Railways has undertaken the task of redevelopment of 1,275 railway stations across the country.
Out of these, 149 railway stations (including Ayodhya railway station) will be transformed in the most populous state of the country, Uttar Pradesh.
Since 2019, the railway station has been under expansion.","['redevelopment', 'swing', 'check', 'uttar', 'water', 'tracks', 'electrification', 'templecompleted', 'work', 'works', 'ayodhya', 'completed', 'list', 'ram', 'railways', 'railway', 'going', 'station']","The Ministry of Railways has shared an update related to the redevelopment work of Ayodhya railway station in Uttar Pradesh state of India. The architecture of this junction is inspired by Shri Ram JanmBhoomi Temple.

Completed works of Ayodhya railway station:

Station Building

Parking areas

External Water supply, External Electrification, Electrical Installations

Station Building Signage

Redevelopment of Ayodhya Railway Station🚉



Architecture inspired by Shri Ram JanmBhoomi Temple🛕

Completed Works:

✅Station Building

✅Parking areas

✅External Water supply, External Electrification, Electrical Installations

✅Station Building Signage#NayeBharatKaNayaStation pic.twitter.com/1HOKnMHzn5 — Ministry of Railways (@RailMinIndia) July 20, 2023

The station serves two railway lines (Varanasi–Jaunpur–Ayodhya–Lucknow line and Gorakhpur–Mankapur–Ayodhya line). Currently, it has three platforms and five railway tracks. The station code is AY.

Under the Amrit Bharat Station Scheme, Indian Railways has undertaken the task of redevelopment of 1,275 railway stations across the country. Out of these, 149 railway stations (including Ayodhya railway station) will be transformed in the most populous state of the country, Uttar Pradesh.

The executive agency for the project is M/S RITES Ltd (Rail India Technical and Economic Service Limited).

Since 2019, the railway station has been under expansion. It added double railway lines alongside the electrification of the tracks. The new design will add new amenities (such as more washrooms, lounges, dormitories, and ticket office). Its capacity will be increased to handle the greater passenger numbers expected due to the construction of the Ram Mandir in Ayodhya.

The new construction is in two phases:

a) The first phase includes the erection of the new station building

b) The second phase will develop the platforms."
https://www.financialexpress.com,https://www.financialexpress.com/money/mutual-funds/best-small-cap-mutual-funds-in-3-years-july-2023-top-11-schemes-with-43-to-58-sip-returns/3179683/,Best Small Cap Mutual Funds in 3 years (July 2023): Top 11 schemes with 43% to 58% SIP returns,None,"Top-performing Small Cap Funds in 3 yearsQuant Small Cap FundThe direct plan of Quant Small Cap Fund has given 58.07% returns while the regular plan has given 55.72% returns in 3 years.
HSBC Small Cap FundThe direct plan of HSBC Small Cap Fund has given 45.72% returns while the regular plan has given 43.98% returns in 3 years.
HDFC Small Cap FundThe direct plan of HDFC Small Cap Fund has given 44.88% returns while the regular plan has given 43.48% returns in 3 years.
Tata Small Cap FundThe direct plan of Tata Small Cap Fund has given 43.82% returns while the regular plan has given 41.24% returns in 3 years.
Kotak Small Cap FundThe direct plan of Kotak Small Cap Fund has given 43.84% returns while the regular plan has given 41.84% returns in 3 years.","['58', 'funds', 'plan', 'scheme', 'mutual', 'regular', 'small', 'sip', 'cap', 'schemes', 'given', 'returns', '43', 'smallcap', 'fund', 'direct', 'best']","Best-performing Small Cap Mutual Funds in 3 years (till July 19 2023): Most of the small-cap funds have given high returns to investors in three years. While the direct plan of the top-performing Small Cap scheme has given over 58% annualised returns in this duration, some low-performing small cap funds have also given over 34% annualised returns in 3 years.

Data on the website of the Association of Mutual Funds in India (AMFI) at the time of writing on July 20 shows that as many as 11 Small Cap funds have given over 43% annualised returns in three years under their direct plans.

The regular plans of these schemes have also given over 41% returns in 3 years. Following is the list of such top-performing Small Cap funds in three years, as per data on AMFI’s website tracked till July 19, 2023.

Top-performing Small Cap Funds in 3 years

Quant Small Cap Fund

The direct plan of Quant Small Cap Fund has given 58.07% returns while the regular plan has given 55.72% returns in 3 years. The scheme tracks NIFTY Smallcap 250 Total Return Index, which has given 38.73% returns in 3 years.

Nippon India Small Cap Fund

The direct plan of Nippon India Small Cap Fund has given 48.29% returns while the regular plan has given 46.99% returns in 3 years. The scheme tracks NIFTY Smallcap 250 Total Return Index, which has given 38.73% returns in 3 years.

Also Read: Best Tax-Saving Funds in 3 years (July 2023): Top 11 ELSS schemes with 28% to 40% SIP returns

Canara Robeco Small Cap Fund

The direct plan of Canara Robeco Small Cap Fund has given 45.34% returns while the regular plan has given 42.93% returns in 3 years. The scheme tracks NIFTY Smallcap 250 Total Return Index, which has given 38.73% returns in 3 years.

HSBC Small Cap Fund

The direct plan of HSBC Small Cap Fund has given 45.72% returns while the regular plan has given 43.98% returns in 3 years. The scheme tracks NIFTY Smallcap 250 Total Return Index, which has given 38.73% returns in 3 years.

HDFC Small Cap Fund

The direct plan of HDFC Small Cap Fund has given 44.88% returns while the regular plan has given 43.48% returns in 3 years. The scheme tracks S&P BSE 250 SmallCap Total Return Index, which has given 39.16% returns in 3 years.

Also Read: How to find best Small Cap Fund for investing amid wide divergence in returns

Edelweiss Small Cap Fund

The direct plan of Edelweiss Small Cap Fund has given 44.04% returns while the regular plan has given 41.71% returns in 3 years. The scheme tracks NIFTY Smallcap 250 Total Return Index, which has given 38.73% returns in 3 years.

ICICI Prudential Smallcap Fund

The direct plan of ICICI Prudential Smallcap Fund has given 44.42% returns while the regular plan has given 42.49% returns in 3 years. The scheme tracks NIFTY Smallcap 250 Total Return Index, which has given 38.73% returns in 3 years.

Tata Small Cap Fund

The direct plan of Tata Small Cap Fund has given 43.82% returns while the regular plan has given 41.24% returns in 3 years. The scheme tracks NIFTY Smallcap 250 Total Return Index, which has given 38.73% returns in 3 years.

Kotak Small Cap Fund

The direct plan of Kotak Small Cap Fund has given 43.84% returns while the regular plan has given 41.84% returns in 3 years. The scheme tracks NIFTY Smallcap 250 Total Return Index, which has given 38.73% returns in 3 years.

Also Read: Best Mid Cap Mutual Funds in 3 years (July 2023): 10 schemes with 34% to 40% SIP returns

Bank of India Small Cap Fund

The direct plan of Bank of India Small Cap Fund has given 43.63% returns while the regular plan has given 41.26% returns in 3 years. The scheme tracks NIFTY Smallcap 250 Total Return Index, which has given 38.73% returns in 3 years.

Franklin India Smaller Companies Fund

The direct plan of Franklin India Smaller Companies Fund has given 43.37% returns while the regular plan has given 42.17% returns in 3 years. The scheme tracks NIFTY Smallcap 250 Total Return Index, which has given 38.73% returns in 3 years.

Disclaimer: The above content is for information purposes only based on AMFI website data as of July 19, 2023. Mutual Funds are subject to market risks. There is no assurance or guarantee that the above funds will give the same returns in future. Investors are advised to consult their financial advisors before investing."
https://www.financialexpress.com,https://www.financialexpress.com/sports/asia-cup-2023-save-the-dates-cricket-fans-may-see-india-vs-pakistan-clash-three-times-in-the-tournament/3179197/,Asia Cup 2023: Save the dates! Cricket fans may see India vs Pakistan clash THREE times in the tournament,None,"Amidst the hushed anticipation of cricket fans worldwide, the veil was lifted on Wednesday, revealing the schedule for the Asia Cup 2023.
The momentous event, much-awaited and steeped in rivalry, would culminate in a showdown – India versus Pakistan – on the grounds of Kandy, Sri Lanka, on September 2.
This six-team ODI tournament serves as a precursor to the ICC World Cup and will kick off in Multan, with a Pakistan vs Nepal match.
Should India and Pakistan secure the top spots, they will meet for the third time — the finals — in the tournament in Colombo.
India, Pakistan, and Nepal comprise one group, while Sri Lanka, Bangladesh, and Afghanistan form the other.","['vs', 'times', 'fans', 'india', 'save', 'dates', 'cricket', 'super', 'tournament', 'teams', 'pakistan', 'group', 'lanka', 'cup', 'sri', 'nepal']","Amidst the hushed anticipation of cricket fans worldwide, the veil was lifted on Wednesday, revealing the schedule for the Asia Cup 2023. The momentous event, much-awaited and steeped in rivalry, would culminate in a showdown – India versus Pakistan – on the grounds of Kandy, Sri Lanka, on September 2. As sworn adversaries, both teams found themselves positioned in Group A alongside Nepal, possibly entangling in a fierce match thrice within 15 days, provided they reach the Super 4 and ultimately, the finals.

The tournament’s commencement date is August 30, and it will run until September 17. This six-team ODI tournament serves as a precursor to the ICC World Cup and will kick off in Multan, with a Pakistan vs Nepal match.

After their opening match against their arch-rivals, led by Rohit Sharma, Team India will have a one-day break before facing Nepal on September 4 in Kandy. A brief interlude of one day would then lead them to another contest, this time against Nepal on September 4.

How India vs Pakistan may happen thrice

Asian Cricket Council (ACC) President Jay Shah confirmed that regardless of their positions after the first round, Pakistan will remain A1, and India will remain A2. In case either of them fails to qualify, Nepal will take their position. If both India and Pakistan manage to qualify, they are scheduled to face each other once more in Colombo on September 10.

In Group B, Sri Lanka and Bangladesh are designated as B1 and B2, respectively. If any of these teams fail to advance to the Super 4s, Afghanistan will take their place.

In June, the Asian Cricket Council had already unveiled the schedule of the hybrid model Asia Cup, with four matches being held in Pakistan and the remaining nine in Sri Lanka.

Given the strained political ties between India and Pakistan over the last decade and a half, bilateral cricket has suffered, leading the neighbouring countries to compete only in multi-team events at neutral venues. The Indian board expressed safety concerns and ruled out travelling to Pakistan for the Asia Cup in September, prompting the PCB to offer India the option of playing their matches in the United Arab Emirates, thus adopting the “hybrid model.”

The participating teams in the tournament are India, Pakistan, Sri Lanka, Bangladesh, Afghanistan, and Nepal, making it a total of 13 ODI matches.

This year’s format features two groups of three teams each, with the top two from each group advancing to the Super Four stage. The top two teams from the Super Four will then compete in the final on September 17. Should India and Pakistan secure the top spots, they will meet for the third time — the finals — in the tournament in Colombo.

India, Pakistan, and Nepal comprise one group, while Sri Lanka, Bangladesh, and Afghanistan form the other."
https://www.financialexpress.com,https://www.financialexpress.com/photos/business-gallery/3179700/battling-wildfires-greece-burns-as-wildfires-sweep-through-the-country-see-photos/,Battling wildfires- Greece burns as wildfires sweep through the country- See Photos,None,"Greece has been engulfed by wildfires for days now.
The fires raged across the nation on Wednesday as a new heatwave surrounds the region.
Firefighters have been battling the fast-moving fires which prompted mass evacuations on Tuesday.
The main fire near Athens became a major crisis rapidly, Fire Service spokesman Cassilis Varthakoyiannis said.
The officials cancelled the leaves of firefighters as Greek Prime Minister Kyriakos Mitsotakis cut short his Brussels visit and returned to Athens.","['sweep', 'fires', 'varthakoyiannis', 'greece', 'battling', 'visit', 'photos', 'athens', 'wildfires', 'surrounds', 'short', 'country', 'burns', 'service', 'firefighters', 'spokesman']","Greece has been engulfed by wildfires for days now. The fires raged across the nation on Wednesday as a new heatwave surrounds the region. Firefighters have been battling the fast-moving fires which prompted mass evacuations on Tuesday. Italy and France also joined the firefighting efforts and sent four aircraft on Wednesday. The main fire near Athens became a major crisis rapidly, Fire Service spokesman Cassilis Varthakoyiannis said. The officials cancelled the leaves of firefighters as Greek Prime Minister Kyriakos Mitsotakis cut short his Brussels visit and returned to Athens."
https://www.financialexpress.com,https://www.financialexpress.com/market/where-is-share-market-headed-after-nifty-makes-new-high-at-19991-sensex-at-67619-check-support-resistance/3179827/,"Where is share market headed after Nifty makes new high at 19991, Sensex at 67619; check support, resistance",None,"The Nifty 50 jumped 146 points or 0.74% to close at 19,979.15 after making a new 52-week high of 19,991.85 intraday.
In sectoral indices, Nifty Bank jumped 1.13%, Nifty Auto gained 0.41%, Nifty Private Bank rose 1.15%, Nifty Financial Services gained 1.02%, Nifty Pharma surged 1.46%, and Nifty Media jumped 1.11% while Nifty IT slipped 0.66%.
Where are NSE Nifty 50, Bank Nifty headed?
Bank Nifty support at 45500, resistance at 46400-46500“The index Bank Nifty is currently experiencing a strong bullish trend, with the bulls dominating the market.
A break below this support level could signal a potential shift in momentum and may warrant caution for bulls.","['support', 'sensex', 'nifty', 'makes', 'resistance', 'check', 'bullish', 'trend', 'index', '50', 'headed', 'high', 'positive', 'level', 'bank', 'market', 'share']","Benchmark indices NSE Nifty 50, and BSE Sensex made new all-time highs today amid positive domestic market sentiment and ended Thursday’s trading session broadly in green. The Nifty 50 jumped 146 points or 0.74% to close at 19,979.15 after making a new 52-week high of 19,991.85 intraday. The Sensex surged 474.46 points or 0.71% to settle at 67,571.90 after hitting a fresh all-time high at 67,619.17 intraday.

In sectoral indices, Nifty Bank jumped 1.13%, Nifty Auto gained 0.41%, Nifty Private Bank rose 1.15%, Nifty Financial Services gained 1.02%, Nifty Pharma surged 1.46%, and Nifty Media jumped 1.11% while Nifty IT slipped 0.66%. The top gainers on Nifty 50 were ITC, Kotak Bank, ICICI Bank, DR Reddy’s Laboratories, and Grasim Industries while the top losers were Infosys, Ultratech Cement, Bajaj Finserv, Eicher Motors, and Britannia Industries.

Where are NSE Nifty 50, Bank Nifty headed?

Nifty 50 expected to stay positive; support at 19800

“Nifty, the headline Indian Index, recently reached a fresh all-time high, stopping just 9 points shy of the 20,000 mark. The index’s value remains above the critical moving average, indicating a positive trend. Furthermore, the RSI shows a bullish crossover, suggesting potential market strength. In the short term, the index is expected to stay positive. However, if it fails to surpass the 20,000 level, investors might engage in profit-taking. There is a support level at 19,800, which could attract buying interest during potential pullbacks,” said Rupak De, Senior Technical analyst at LKP Securities.

Bank Nifty support at 45500, resistance at 46400-46500

“The index Bank Nifty is currently experiencing a strong bullish trend, with the bulls dominating the market. The index successfully surpassed the key resistance level of 46000, indicating a continuation of the upward momentum. The index is characterized by a series of “higher high and higher low formations,” which is a bullish pattern that confirms the strength of the uptrend,” said Kunal Shah, Senior Technical & Derivative analyst at LKP Securities.

“The support level for the index is at 45500, and as long as this level remains intact on a closing basis, the overall trend remains bullish. A break below this support level could signal a potential shift in momentum and may warrant caution for bulls. On the upside, the next immediate hurdle is placed at the 46400-46500 zone. If the index manages to break above this resistance zone on a closing basis, it could further accelerate the upward movement, potentially opening room for higher levels,” Kunal Shah added."
https://www.financialexpress.com,https://www.financialexpress.com/market/nse-nifty-50-inches-away-from-20000-sensex-bank-nifty-again-make-all-time-highs-what-should-investors-do/3179741/,"NSE Nifty 50 inches away from 20,000, Sensex, Bank Nifty again make all-time highs; What should investors do?",None,"NSE Nifty 50, BSE Sensex and Bank Nifty made new all-time highs today amid positive domestic market sentiment.
The 30-share Sensex fresh record high is 67,619.17 and Bank Nifty’s all-time high is set at 46,256.20.
Financials, FMCG & Healthcare stocks fired up Nifty, Sensex today“Financials, FMCG & Healthcare fired up benchmark indices today which closed just shy of the magical 20k on the Nifty.
Bank Nifty support at 45500; resistance at 46400-46500“Bank Nifty successfully surpassed the key resistance level of 46000, indicating a continuation of the upward momentum.
The support level for the index is at 45500, and as long as this level remains intact on a closing basis, the overall trend remains bullish.","['nifty', 'sensex', 'support', 'market', 'inches', 'remains', '50', 'investors', 'alltime', 'high', 'nse', 'positive', 'highs', 'level', 'bank', 'lkp', 'away']","NSE Nifty 50, BSE Sensex and Bank Nifty made new all-time highs today amid positive domestic market sentiment. The NSE Nifty 50’s new 52-week high is 19,991.85, just 9 points away from the 20,000 mark. The 30-share Sensex fresh record high is 67,619.17 and Bank Nifty’s all-time high is set at 46,256.20. ITC, Dr Reddy’s Laboratories, Reliance Industries Ltd (RIL), Kotak Bank, ICICI Bank and Sun Pharma pushed the major indices to record highs on Thursday.

Financials, FMCG & Healthcare stocks fired up Nifty, Sensex today

“Financials, FMCG & Healthcare fired up benchmark indices today which closed just shy of the magical 20k on the Nifty. FII’s have pulled off a 700-point rally in the Nifty since the 3rd of this month at the start of the earnings season for the first quarter,” said S Ranganathan, Head of Research at LKP securities.

Q1 results, FII inflow providing extra boost to Nifty, Sensex

“Unlocking of value by heavyweights (like RIL & ITC) is apprising the main indices. The anticipation of good Q1 results from Banks, is providing an extra boost to drive to new highs. Mixed cues from global peers are not disturbing the mood of the domestic market as FIIs inflows stay put to the prospects of the Indian economy,” said Vinod Nair, Head of Research at Geojit Financial Services.

Investors might book profit if Nifty fails to surpass 20,000

“Nifty 50 remains above the critical moving average, indicating a positive trend. Furthermore, the RSI shows a bullish crossover, suggesting potential market strength. In the short term, the index is expected to stay positive. However, if it fails to surpass the 20,000 level, investors might engage in profit-taking. There is a support level of 19,800, which could attract buying interest during potential pullbacks,” said Rupak De, Senior Technical analyst at LKP Securities.

Bank Nifty support at 45500; resistance at 46400-46500

“Bank Nifty successfully surpassed the key resistance level of 46000, indicating a continuation of the upward momentum. The index is characterized by a series of “higher high and higher low formations,” which is a bullish pattern that confirms the strength of the uptrend. The support level for the index is at 45500, and as long as this level remains intact on a closing basis, the overall trend remains bullish. On the upside, the next immediate hurdle is placed at the 46400-46500 zone,” said Kunal Shah, Senior Technical & Derivative analyst at LKP Securities."
https://www.financialexpress.com,https://www.financialexpress.com/market/state-bank-of-india-share-price/,State Bank of India Share Price Today: Live NSE,None,"State Bank of India is a Public Limited Listed company incorporated on 31/12/1955 and registered in the State of Maharashtra, India.
Company presently involved in the business activities of Banking Business.","['india', 'maharashtra', 'price', 'presently', 'listed', 'registered', 'state', 'company', 'business', 'nse', 'today', 'limited', 'live', 'public', 'bank', 'share']","State Bank of India is a Public Limited Listed company incorporated on 31/12/1955 and registered in the State of Maharashtra, India. Company presently involved in the business activities of Banking Business."
https://www.financialexpress.com,https://www.financialexpress.com/market/tata-consultancy-services-ltd-share-price/,"BSE Tata Consultancy Services Stock Price, Performance, Financials, Returns, Share Holdings",None,"Tata Consultancy Services Ltd. is a Public Limited Listed company incorporated on 19/01/1995 and has its registered office in the State of Maharashtra, India.
Company’s Corporate Identification Number(CIN) is L22210MH1995PLC084781 and registration number is 084781.
Currently Company is involved in the business activities of Computer programming, consultancy and related activities.
Company’s Total Operating Revenue is Rs.
160341.00 Cr.","['consultancy', 'price', 'tata', 'stock', 'performance', 'rs', 'services', 'cr', 'company', 'activities', 'state', 'returns', 'holdings', 'financials', 'companys', 'share', 'total']","Tata Consultancy Services Ltd. is a Public Limited Listed company incorporated on 19/01/1995 and has its registered office in the State of Maharashtra, India. Company’s Corporate Identification Number(CIN) is L22210MH1995PLC084781 and registration number is 084781. Currently Company is involved in the business activities of Computer programming, consultancy and related activities. Company’s Total Operating Revenue is Rs. 160341.00 Cr. and Equity Capital is Rs. 366.00 Cr. for the Year ended 31/03/2022."
https://www.financialexpress.com,https://www.financialexpress.com/market/maruti-suzuki-india-ltd-share-price/,"BSE Maruti Suzuki India Stock Price, Performance, Financials, Returns, Share Holdings",None,"Maruti Suzuki India Ltd. is a Public Limited Listed company incorporated on 24/02/1981 and has its registered office in the State of Delhi, India.
Company’s Corporate Identification Number(CIN) is L34103DL1981PLC011375 and registration number is 011375.
Currently Company is involved in the business activities of Sale of motor vehicle parts and accessories.
Company’s Total Operating Revenue is Rs.
88295.60 Cr.","['india', 'price', 'stock', 'performance', 'rs', 'maruti', 'cr', 'vehicle', 'company', 'state', 'sale', 'suzuki', 'returns', 'holdings', 'financials', 'companys', 'share', 'total']","Maruti Suzuki India Ltd. is a Public Limited Listed company incorporated on 24/02/1981 and has its registered office in the State of Delhi, India. Company’s Corporate Identification Number(CIN) is L34103DL1981PLC011375 and registration number is 011375. Currently Company is involved in the business activities of Sale of motor vehicle parts and accessories. Company’s Total Operating Revenue is Rs. 88295.60 Cr. and Equity Capital is Rs. 151.00 Cr. for the Year ended 31/03/2022."
https://www.financialexpress.com,https://www.financialexpress.com/market/larsen-and-toubro-ltd-share-price/,"BSE Larsen & Toubro Stock Price, Performance, Financials, Returns, Share Holdings",None,"Larsen & Toubro Ltd. is a Public Limited Listed company incorporated on 07/02/1946 and has its registered office in the State of Maharashtra, India.
Company’s Corporate Identification Number(CIN) is L99999MH1946PLC004768 and registration number is 004768.
Currently Company is involved in the business activities of Construction of utility projects.
Company’s Total Operating Revenue is Rs.
101000.41 Cr.","['registration', 'cr', 'company', 'state', 'returns', 'financials', 'utility', 'rs', 'toubro', 'larsen', 'bse', 'holdings', 'share', 'price', 'stock', 'performance', 'companys', 'revenue', 'total']","Larsen & Toubro Ltd. is a Public Limited Listed company incorporated on 07/02/1946 and has its registered office in the State of Maharashtra, India. Company’s Corporate Identification Number(CIN) is L99999MH1946PLC004768 and registration number is 004768. Currently Company is involved in the business activities of Construction of utility projects. Company’s Total Operating Revenue is Rs. 101000.41 Cr. and Equity Capital is Rs. 281.01 Cr. for the Year ended 31/03/2022."
https://www.financialexpress.com,https://www.financialexpress.com/market/sun-pharmaceutical-industries-ltd-share-price/,"BSE Sun Pharmaceutical Industries Stock Price, Performance, Financials, Returns, Share Holdings",None,"Sun Pharmaceutical Industries Ltd. is a Public Limited Listed company incorporated on 01/03/1993 and has its registered office in the State of Gujarat, India.
Company’s Corporate Identification Number(CIN) is L24230GJ1993PLC019050 and registration number is 019050.
Currently Company is involved in the business activities of Manufacture of pharmaceuticals, medicinal chemical and botanical products.
Company’s Total Operating Revenue is Rs.
15585.98 Cr.","['registration', 'registered', 'cr', 'company', 'industries', 'state', 'returns', 'financials', 'public', 'pharmaceutical', 'rs', 'bse', 'holdings', 'share', 'price', 'stock', 'performance', 'companys', 'revenue', 'total']","Sun Pharmaceutical Industries Ltd. is a Public Limited Listed company incorporated on 01/03/1993 and has its registered office in the State of Gujarat, India. Company’s Corporate Identification Number(CIN) is L24230GJ1993PLC019050 and registration number is 019050. Currently Company is involved in the business activities of Manufacture of pharmaceuticals, medicinal chemical and botanical products. Company’s Total Operating Revenue is Rs. 15585.98 Cr. and Equity Capital is Rs. 239.93 Cr. for the Year ended 31/03/2022."
